month,name,age,description,image,link,status
1,David Lodge,89,O grande mestre da comédia,https://imagens.publico.pt/imagens.aspx/1967626?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/03/culturaipsilon/noticia/david-lodge-1935-2025-mestre-comedia-2117605,Publicado
1,Couto dos Santos,75,O ministro que ouviu uma geração gritar “não pagamos”,https://imagens.publico.pt/imagens.aspx/1968110?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/06/politica/noticia/couto-santos-19492025-ministro-ouviu-geracao-gritar-nao-pagamos-2117827,Publicado
1,Jean-Marie Le Pen,96,Morreu um pai da extrema-direita francesa,https://imagens.publico.pt/imagens.aspx/1968326?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/07/mundo/noticia/jeanmarie-le-pen-19282025-morreu-pai-extremadireita-francesa-2117955,Publicado
1,Peter Yarrow,86,Paul and Mary perderam o seu Peter,https://imagens.publico.pt/imagens.aspx/1968376?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/08/culturaipsilon/noticia/peter-paul-and-mary-perderam-peter-86-anos-2117980,Publicado
1,Arlindo Fagundes,79,Ilustrador dos livros <em>Uma Aventura</em>,https://imagens.publico.pt/imagens.aspx/1968898?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/10/culturaipsilon/noticia/morreu-arlindo-fagundes-ilustrador-livros-aventura-2118262,Publicado
1,Sam Moore,89,A voz sobrevivente do duo Sam & Dave que marcou a soul,https://imagens.publico.pt/imagens.aspx/1969529?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/12/culturaipsilon/noticia/morreu-sam-moore-voz-sobrevivente-duo-sam-dave-marcou-soul-2118511,Publicado
1,David Lynch,78,Buracos e <em>donuts</em> pelo universo e nós <em>llorando</em>...,https://imagens.publico.pt/imagens.aspx/1929570?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/16/culturaipsilon/noticia/morreu-david-lynch-buracos-donuts-espalhamse-universo-2119069,Publicado
1,Joan Plowright,95,Um dos grandes talentos do teatro britânico,https://imagens.publico.pt/imagens.aspx/1970695?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/17/culturaipsilon/noticia/morreu-veterana-actriz-britanica-joan-plowright-2119120,Publicado
1,Eleanor Maguire,54,A cientista que desvendou o cérebro à boleia de taxistas,https://imagens.publico.pt/imagens.aspx/1970903?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/19/ciencia/noticia/eleanor-maguire-19702025-cientista-desvendou-cerebro-boleia-taxistas-2119227,Publicado
1,Bertrand Blier,85,O audacioso e misógino realizador de <em>As Bailarinas</em>,https://imagens.publico.pt/imagens.aspx/1971640?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/21/culturaipsilon/noticia/morreu-bertrand-blier-realizador-bailarinas-2119571,Publicado
1,Garth Hudson,87,O último sobrevivente da The Band,https://imagens.publico.pt/imagens.aspx/1971838?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/21/culturaipsilon/noticia/morreu-garth-hudson-ultimo-membro-the-band-2119669,Publicado
1,Rocha Vieira,85,O general que recolheu a última bandeira do Império,https://imagens.publico.pt/imagens.aspx/1972127?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/22/politica/noticia/rocha-vieira-19392025-general-recolheu-ultima-bandeira-imperio-2119795,Publicado
1,Jules Feiffer,95,Um dos mais pródigos filhos de Nova Iorque,https://imagens.publico.pt/imagens.aspx/1972788?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/26/culturaipsilon/noticia/jules-feiffer-19292024-prodigos-filhos-nova-iorque-2120047,Publicado
1,Nuno Roby Amorim,62,O primeiro jornalista a noticiar o incêndio no Chiado,https://imagens.publico.pt/imagens.aspx/1973033?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/01/26/politica/noticia/morreu-nuno-roby-amorim-fundador-tsf-jornalista-noticiar-incendio-chiado-2120215,Publicado
1,Marina Colasanti,87,A força de uma voz delicada,https://imagens.publico.pt/imagens.aspx/1974585?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/02/culturaipsilon/noticia/marina-colasanti-19372025-forca-voz-delicada-2121000,Publicado
1,Fernanda Maria,87,Uma voz que era em si mesma uma lição de fado,https://imagens.publico.pt/imagens.aspx/1976382?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/09/culturaipsilon/noticia/fernanda-maria-19372024-voz-licao-fado-2121781,Publicado
2,Helga de Alvear,88,Galerista e coleccionadora,https://imagens.publico.pt/imagens.aspx/1974925?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/03/culturaipsilon/noticia/morreu-galerista-coleccionadora-helga-alvear-arte-causa-2121122,Publicado
2,Maria Teresa Horta,87,Uma vida colada ao feminismo,https://imagens.publico.pt/imagens.aspx/1975294?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/04/culturaipsilon/noticia/maria-teresa-horta-19372025-poesia-rente-desejo-vida-colada-feminismo-2121310,Publicado
2,Tony Roberts,85,O actor “amigo” de Woody Allen,https://imagens.publico.pt/imagens.aspx/1976383?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/08/culturaipsilon/noticia/morreu-actor-tony-roberts-amigo-woody-allen-broadway-casa-2121844,Publicado
2,Rafael Moreira,77,Historiador de arte e professor estimulante,https://imagens.publico.pt/imagens.aspx/1976555?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/09/culturaipsilon/noticia/rafael-moreira-historiador-arte-inventou-renascimento-portugal-2121915,Publicado
2,Cacá Diegues,84,Um dos mais populares cineastas brasileiros,https://imagens.publico.pt/imagens.aspx/1977840?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/14/culturaipsilon/noticia/bye-bye-caca-diegues-19402025-morreu-populares-cineastas-brasileiros-2122582,Publicado
2,Pinto da Costa,87,O homem que não mandou no FC Porto para ser “bom rapaz”,https://imagens.publico.pt/imagens.aspx/1953657?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/15/desporto/noticia/pinto-costa-homem-nao-mandou-fc-porto-bom-rapaz-2111129,Publicado
2,Souleymane Cissé,84,Apagou-se uma luz do cinema africano,https://imagens.publico.pt/imagens.aspx/1979028?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/19/culturaipsilon/noticia/souleymane-cisse-19402025-apagouse-luz-cinema-africano-2123195,Publicado
2,George Armitage,83,Realizador de <em>O Último Contrato</em> e <em>Balada de Miami</em>,https://imagens.publico.pt/imagens.aspx/1979716?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/22/culturaipsilon/noticia/morreu-george-armitage-realizador-ultimo-contrato-balada-miami-2123516,Publicado
2,Donald Shoup,86,O homem que provou que não há estacionamentos grátis,https://imagens.publico.pt/imagens.aspx/1979710?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/23/local/noticia/donald-shoup-19382025-homem-provou-nao-ha-estacionamentos-gratis-2123470,Publicado
2,Bill Fay,81,O cantautor de culto da folk que teve duas carreiras,https://imagens.publico.pt/imagens.aspx/1979879?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/23/culturaipsilon/noticia/bill-fay-19432025-cantautor-culto-folk-duas-carreiras-2123585,Publicado
2,Roberta Flack,88,A cantora que eternizou <em>Killing me softly with his song</em>,https://imagens.publico.pt/imagens.aspx/1980135?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/24/culturaipsilon/noticia/morreu-roberta-flack-cantora-eternizou-killing-softly-with-his-song-2123684,Publicado
2,Fernando Eldoro,84,"Maestro português que dirigiu, entre outras, a Orquestra Gulbenkian",https://imagens.publico.pt/imagens.aspx/1980223?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/24/culturaipsilon/noticia/morreu-maestro-portugues-fernando-eldoro-84-anos-2123724,Publicado
2,Gene Hackman,95,Morte na casa do <em>gang</em> dos <em>seventies</em>,https://imagens.publico.pt/imagens.aspx/1980950?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/02/27/culturaipsilon/noticia/gene-hackman-19302025-morte-casa-gang-seventies-2124093,Publicado
2,David Johansen,75,A última boneca de Nova Iorque,https://imagens.publico.pt/imagens.aspx/1981685?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/01/culturaipsilon/noticia/david-johansen-19502025-ultima-boneca-nova-iorque-2124463,Publicado
2,Mel Bochner,84,Um pioneiro e um crítico do conceptualismo,https://imagens.publico.pt/imagens.aspx/1981580?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/02/culturaipsilon/noticia/mel-bochner-19402025-pioneiro-critico-conceptualismo-2124311,Publicado
3,Affonso Romano de Sant’Anna,87,"Poeta, cronista e ensaísta brasileiro",https://imagens.publico.pt/imagens.aspx/1982646?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/05/culturaipsilon/noticia/morreu-escritor-brasileiro-affonso-romano-santanna-2124836,Publicado
3,José António Saraiva,77,Jornalista que pôs o <em>Expresso</em> num saco,https://imagens.publico.pt/imagens.aspx/1982946?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/06/sociedade/perfil/saraiva-jornalista-pos-expresso-saco-revelou-segredos-fontes-2124983,Publicado
3,Ricardo Scofidio,89,O arquitecto que desenhou a Nova Iorque moderna,https://imagens.publico.pt/imagens.aspx/1983052?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/07/culturaipsilon/noticia/ricardo-scofidio-19352025-arquitecto-desenhou-nova-iorque-moderna-2125055,Publicado
3,Brian James,70,Um dos fundadores do punk e dos The Damned,https://imagens.publico.pt/imagens.aspx/1983082?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/07/culturaipsilon/noticia/morreu-brian-james-fundadores-punk-the-damned-2125086,Publicado
3,Roy Ayers,84,"Todos adoram o Sol, mas poucos cantaram isso como ele",https://imagens.publico.pt/imagens.aspx/1983335?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/09/culturaipsilon/noticia/roy-ayers-19402025-adoram-sol-cantaram-2125150,Publicado
3,Sofia Gubaidulina,93,A compositora russa para quem o som era sagrado,https://imagens.publico.pt/imagens.aspx/1984761?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/13/culturaipsilon/noticia/sofia-gubaidulina-19312025-compositoras-russas-musica-classica-2125888,Publicado
3,Miguel Macedo,65,O “homem de carácter bom”,https://imagens.publico.pt/imagens.aspx/1984776?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/13/politica/noticia/miguel-macedo-homem-caracter-bom-afastar-ja-nao-quis-voltar-politica-2125821,Publicado
3,Daniel Cabrita,86,O sindicalista que abanou o Estado Novo,https://imagens.publico.pt/imagens.aspx/1985145?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/16/sociedade/noticia/daniel-cabrita-19382025-sindicalista-abanou-estado-novo-2126030,Publicado
3,Émilie Dequenne,43,<em>Rosetta</em> para sempre,https://imagens.publico.pt/imagens.aspx/1985429?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/17/culturaipsilon/noticia/emilie-dequenne-19812025-rosetta-2126214,Publicado
3,Jesse Colin Young,83,Com <em>Get Together</em> elevou o espírito da geração Woodstock,https://imagens.publico.pt/imagens.aspx/1985692?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/18/culturaipsilon/noticia/morreu-jesse-colin-young-get-together-elevou-espirito-geracao-woodstock-2126361,Publicado
3,George Foreman,76,A dupla face de um pugilista maior que o boxe,https://imagens.publico.pt/imagens.aspx/1986972?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/22/desporto/noticia/morre-76-anos-lenda-pesos-pesados-george-foreman-2126976,Publicado
3,Maurício Reis,69,O agitador que manteve a porta sempre aberta à arte na Madeira,https://imagens.publico.pt/imagens.aspx/1986864?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/23/culturaipsilon/noticia/mauricio-reis-19562025-agitador-manteve-porta-aberta-arte-madeira-2126944,Publicado
3,Luís Oliveira,84,O fundador e editor da Antígona que “dançou até ao fim”,https://imagens.publico.pt/imagens.aspx/1987489?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/25/culturaipsilon/noticia/morreu-luis-oliveira-fundador-antigona-dancou-ate-fim-2127299,Publicado
3, José Brandão,80,Referência maior do design gráfico português,https://imagens.publico.pt/imagens.aspx/1988008?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/27/culturaipsilon/noticia/morreu-jose-brandao-1944-2025-referencia-maior-design-grafico-portugues-2127553,Publicado
3,Agnès de Gouvion Saint-Cyr,80,Uma formiguinha incansável que se tornou na <em>“madame photographie”</em>,https://imagens.publico.pt/imagens.aspx/1988625?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/30/culturaipsilon/noticia/agnes-gouvion-saintcyr-19452025-formiguinha-incansavel-tornou-madame-photographie-2127851,Publicado
3,Richard Chamberlain,90,O actor que se tornou “o rei das minisséries”,https://imagens.publico.pt/imagens.aspx/1988692?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/03/30/culturaipsilon/noticia/morreu-richard-chamberlain-actor-dr-kildare-shogun-2127880,Publicado
3,Yves Boisset,86,O cineasta “mais censurado de França”,https://imagens.publico.pt/imagens.aspx/1989054?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/01/culturaipsilon/noticia/yves-boisset-19392025-cineasta-censurado-franca-2128122,Publicado
3,Marcia Marcus,97,Uma artista “de corpo e alma” redescoberta no fim da vida,https://imagens.publico.pt/imagens.aspx/1992088?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/13/culturaipsilon/noticia/marcia-marcus-19282025-artista-corpo-alma-redescoberta-fim-vida-2129430,Publicado
4,Val Kilmer,65,Um actor intenso,https://imagens.publico.pt/imagens.aspx/1989238?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/02/culturaipsilon/noticia/morreu-val-kilmer-batman-jim-morrison-2128222,Publicado
4,Paulo Mendo,92,Antigo ministro da Saúde,https://imagens.publico.pt/imagens.aspx/1989630?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/03/sociedade/noticia/morreu-paulo-mendo-exministro-saude-92-anos-2128411,Publicado
4,Amadou Bagayoko,70,A música do Mali perdeu a sua mais bela dupla,https://imagens.publico.pt/imagens.aspx/1990191?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/05/culturaipsilon/noticia/morreu-amadou-bagayoko-metade-duo-amadou-et-mariam-2128659,Publicado
4,Fernando J. B. Martinho,87,Académico e poeta,https://imagens.publico.pt/imagens.aspx/1991226?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/09/culturaipsilon/noticia/morreu-academico-poeta-fernando-j-b-martinho-2129139,Publicado
4,Matos Gomes,78,“Um dos primeiros” capitães de Abril,https://imagens.publico.pt/imagens.aspx/1992238?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/13/politica/noticia/morreu-matos-gomes-capitao-abril-2129626,Publicado
4,Mario Vargas Llosa,89,O último gigante da literatura latino-americana,https://imagens.publico.pt/imagens.aspx/1826951?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/14/culturaipsilon/noticia/mario-vargas-llosa-19362025-striptease-romancista-2057495,Publicado
4,João Cravinho,88,O socialista que nunca desistiu da luta anticorrupção,https://imagens.publico.pt/imagens.aspx/1993111?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/16/politica/noticia/joao-cravinho-19362025-socialista-cedeu-privados-desistiu-luta-anticorrupcao-2130073,Publicado
4,Nuno Guerreiro,52,De Carlos Paredes à Ala dos Namorados,https://imagens.publico.pt/imagens.aspx/1993383?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/17/culturaipsilon/noticia/morreu-nuno-guerreiro-vocalista-ala-namorados-2130210,Publicado
4,Max Romeo,80,A lenda do reggae que lutou contra o diabo em nós,https://imagens.publico.pt/imagens.aspx/1993451?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/20/culturaipsilon/noticia/max-romeo-19442025-lenda-reggae-lutou-diabo-2130119,Publicado
4,Papa Francisco,88,O Papa favorito do povo e dos ateus,https://imagens.publico.pt/imagens.aspx/1979817?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/21/sociedade/noticia/morreu-francisco-papa-favorito-povo-ateus-2123337,Publicado
4,David Thomas,71,Um dos maiores modernistas do rock,https://imagens.publico.pt/imagens.aspx/1994873?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/24/culturaipsilon/noticia/david-thomas-19532025-maiores-modernistas-rock-2130876,Publicado
4,Irmgard Furchner,99,Secretária de um assassino e “assassina de secretária”,https://imagens.publico.pt/imagens.aspx/1995283?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/04/27/mundo/noticia/irmgard-furchner-19252025-secretaria-assassino-assassina-secretaria-2131006,Publicado
4,Leonila Vázquez,89,Padroeira dos migrantes,https://imagens.publico.pt/imagens.aspx/1996889?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/04/mundo/noticia/leonila-vazquez-19362025-padroeira-migrantes-2131179,Publicado
5,Dara Birnbaum,78,A pirata da “sociedade do espectáculo” na videoarte,https://imagens.publico.pt/imagens.aspx/1996883?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/03/culturaipsilon/noticia/dara-birnbaum-19462025-pirata-sociedade-espectaculo-videoarte-2131811,Publicado
5,James Foley,71,"Cineasta de muitas sombras, não apenas as de Grey",https://imagens.publico.pt/imagens.aspx/1999009?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/09/culturaipsilon/noticia/james-foley-19532025-cineasta-sombras-nao-apenas-grey-2132553,Publicado
5,Joseph Nye Jr.,88,O papa do <em>soft power</em>,https://imagens.publico.pt/imagens.aspx/1999042?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/09/mundo/noticia/joseph-nye-jr-19372025-teorico-soft-power-2132569,Publicado
5,António Pires,62,O pai de toda uma geração de críticos musicais,https://imagens.publico.pt/imagens.aspx/1999047?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/09/culturaipsilon/noticia/morreu-antonio-pires-pai-geracao-criticos-musicais-2132557,Publicado
5,Manuel Cáceres Artesano,76,O bobo do bombo,https://imagens.publico.pt/imagens.aspx/1999051?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/11/desporto/noticia/manuel-caceres-artesano-19492025-bobo-bombo-2132154,Publicado
5,Robert Benton,92,Realizador de <em>Kramer Contra Kramer</em>,https://imagens.publico.pt/imagens.aspx/2000093?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/14/culturaipsilon/noticia/morreu-robert-benton-realizador-kramer-kramer-argumentista-bonnie-clyde-2132982,Publicado
5,Joe Don Baker,89,Eterno secundário,https://imagens.publico.pt/imagens.aspx/2000654?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/15/culturaipsilon/noticia/morreu-joe-don-baker-eterno-secundario-2133208,Publicado
5,Antónia de Sousa,84,Jornalista defensora dos direitos das mulheres,https://imagens.publico.pt/imagens.aspx/2000720?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/15/sociedade/noticia/defensora-direitos-mulheres-jornalista-antonia-sousa-morre-84-anos-2133245,Publicado
5,Simon Mann,72,Mercenário de corpo e alma,https://imagens.publico.pt/imagens.aspx/2001040?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/18/mundo/noticia/simon-mann-19522025-mercenario-corpo-alma-2132813,Publicado
5,Sebastião Salgado,81,Incansável observador da Terra e do que fizemos dela,https://imagens.publico.pt/imagens.aspx/2002823?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/23/culturaipsilon/noticia/morreu-fotografo-brasileiro-sebastiao-salgado-2134142,Publicado
5,Divaldo Franco,98,A morte de um <em>médium</em>,https://imagens.publico.pt/imagens.aspx/2002593?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/25/mundo/noticia/divaldo-franco-19272025-morte-medium-2133561,Publicado
5,Marcel Ophuls,97,Autor de <em>Tristeza e Compaixão</em>,https://imagens.publico.pt/imagens.aspx/2003275?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/26/culturaipsilon/noticia/morreu-marcel-ophuls-autor-tristeza-compaixao-expos-franca-colaboracionista-2134323,Publicado
5,Fernando Venâncio,80,"Linguista, escritor, tradutor, crítico literário e académico",https://imagens.publico.pt/imagens.aspx/2004511?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/05/30/culturaipsilon/noticia/linguista-escritor-fernando-venancio-morre-80-anos-2135004,Publicado
5,Marie Nejar,95,Uma negrinha em tempos sombrios,https://imagens.publico.pt/imagens.aspx/2004615?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/01/mundo/noticia/marie-nejar-19302025-negrinha-tempos-sombrios-2134821,Publicado
5,Louis Diaz,79,O agente infiltrado,https://imagens.publico.pt/imagens.aspx/2012202?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/07/06/mundo/noticia/louis-diaz-19462025-agente-infiltrado-2138451,Publicado
5,James Lloydovich Patterson,91,Um homem entre dois mundos,https://imagens.publico.pt/imagens.aspx/2020139?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/03/mundo/noticia/james-lloydovich-patterson-19332025-homem-dois-mundos-2142177,Publicado
6,Pierre Nora,93,Historiador de <em>Les Lieux de Mémoire</em>,https://imagens.publico.pt/imagens.aspx/2005221?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/03/culturaipsilon/noticia/morreu-pierre-nora-historiador-les-lieux-memoire-intelectual-franca-livre-2135354,Publicado
6,Edmund White,85,Escritor e cronista da vida <em>queer</em>,https://imagens.publico.pt/imagens.aspx/2005476?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/04/culturaipsilon/noticia/morreu-escritor-cronista-vida-queer-edmund-white-2135481,Publicado
6,Eduardo Gageiro,90,O fotógrafo de Abril e do Portugal real sob a censura,https://imagens.publico.pt/imagens.aspx/2005535?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/04/culturaipsilon/noticia/morreu-eduardo-gageiro-fotojornalista-realidade-pais-25-abril-90-anos-2135493,Publicado
6,Niède Guidon,92,A mulher que mudou a história da ocupação das Américas,https://imagens.publico.pt/imagens.aspx/2005703?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/04/publico-brasil/noticia/brasil-perde-mulher-mudou-historia-ocupacao-americas-2135530,Publicado
6,Brian Wilson,82,O génio terno a quem a música tanto deve,https://imagens.publico.pt/imagens.aspx/2007346?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/11/culturaipsilon/noticia/brian-wilson-19422025-genio-terno-musica-tanto-2136380,Publicado
6,Ayse Seitmuratova,88,A voz dos tártaros da Crimeia,https://imagens.publico.pt/imagens.aspx/2007496?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/15/mundo/noticia/ayse-seitmuratova-19372025-voz-tartaros-crimeia-2136230,Publicado
6,Teresa Rita Lopes,87,Uma das grandes “arqueólogas” de Fernando Pessoa,https://imagens.publico.pt/imagens.aspx/2008202?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/15/culturaipsilon/noticia/morreu-escritora-teresa-rita-lopes-arqueologas-fernando-pessoa-2136726,Publicado
6,Alfred Brendel,94,Um gigante do piano e um poeta,https://imagens.publico.pt/imagens.aspx/2008703?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/17/culturaipsilon/noticia/morreu-lendario-pianista-poeta-alfred-brendel-2136985,Publicado
6,Amanda Feilding,82,A condessa psicadélica,https://imagens.publico.pt/imagens.aspx/2009600?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/22/ciencia/noticia/amanda-feilding-19432025-condessa-psicadelica-2136834,Publicado
6,Marcia Resnick,74,Fotógrafa dos dias áureos do punk,https://imagens.publico.pt/imagens.aspx/2009732?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/22/culturaipsilon/noticia/marcia-resnick-19502025-fotografa-dias-aureos-punk-2137458,Publicado
6,Lea Massari,91,Desapareceu aquela que desaparecia em <em>A Aventura</em>,https://imagens.publico.pt/imagens.aspx/2010355?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/06/25/culturaipsilon/noticia/lea-massari-19332025-desapareceu-desaparecia-aventura-2137771,Publicado
